Tm,Player,Rk,Pos,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
BOS,Demetrius Jackson,217,PG,22,5,0,17,3,4,0.75,1,1,1.0,2,3,0.667,0.875,3,6,0.5,2,2,4,3,0,0,0,0,10
BOS,Gerald Green,165,SF,31,47,0,538,95,232,0.409,39,111,0.35100000000000003,56,121,0.463,0.494,33,41,0.805,16,68,84,33,9,7,25,48,262
BOS,Isaiah Thomas,424,PG,27,76,76,2569,682,1473,0.463,245,646,0.379,437,827,0.528,0.546,590,649,0.909,43,162,205,448,70,13,210,167,2199
BOS,Jae Crowder,95,SF,26,72,72,2335,333,720,0.463,157,394,0.398,176,326,0.54,0.5720000000000001,176,217,0.8109999999999999,48,367,415,155,73,23,80,161,999
BOS,James Young,478,SG,21,29,0,220,25,58,0.431,12,35,0.343,13,23,0.565,0.534,6,9,0.667,6,20,26,4,10,2,4,15,68
BOS,Jaylen Brown,61,SF,20,78,20,1341,192,423,0.454,46,135,0.341,146,288,0.507,0.508,85,124,0.685,45,175,220,64,35,18,68,142,515
BOS,Jonas Jerebko,225,PF,29,78,6,1232,114,262,0.435,45,130,0.34600000000000003,69,132,0.523,0.521,26,37,0.703,59,213,272,71,25,17,39,122,299
BOS,Jordan Mickey,300,PF,22,25,1,141,15,34,0.441,0,1,0.0,15,33,0.455,0.441,8,14,0.5710000000000001,13,21,34,7,3,6,9,12,38
BOS,Kelly Olynyk,340,C,25,75,6,1538,260,508,0.512,68,192,0.354,192,316,0.608,0.579,90,123,0.732,73,288,361,148,43,29,96,207,678
BOS,Marcus Smart,405,SG,22,79,24,2399,269,749,0.359,94,332,0.28300000000000003,175,417,0.42,0.422,203,250,0.812,78,227,305,364,125,34,159,192,835
BOS,Terry Rozier,385,PG,22,74,0,1263,151,411,0.3670000000000001,57,179,0.318,94,232,0.405,0.4370000000000001,51,66,0.773,40,187,227,131,46,11,47,69,410
BOS,Tyler Zeller,483,C,27,51,5,525,78,158,0.494,0,1,0.0,78,157,0.4970000000000001,0.494,22,39,0.564,43,81,124,42,7,21,20,61,178
BRK,Anthony Bennett,42,PF,23,23,1,264,38,92,0.413,13,48,0.271,25,44,0.568,0.484,26,36,0.722,25,53,78,12,5,3,12,18,115
BRK,Bojan Bogdanovic,50,SF,27,55,54,1482,269,611,0.44,99,277,0.35700000000000004,170,334,0.509,0.521,146,167,0.8740000000000001,23,174,197,90,24,3,93,99,783
BRK,Brook Lopez,271,C,28,75,75,2222,555,1172,0.474,134,387,0.34600000000000003,421,785,0.536,0.531,295,364,0.81,121,282,403,176,38,124,184,192,1539
BRK,Caris LeVert,264,SF,22,57,26,1237,171,380,0.45,59,184,0.321,112,196,0.5710000000000001,0.528,67,93,0.72,23,165,188,110,49,8,59,91,468
BRK,Chris McCullough,290,PF,21,14,0,72,16,31,0.516,1,6,0.16699999999999998,15,25,0.6,0.532,2,3,0.667,9,8,17,2,1,2,2,7,35
BRK,Greivis Vasquez,444,PG,30,3,0,39,2,8,0.25,1,3,0.333,1,5,0.2,0.313,2,3,0.667,0,2,2,5,1,1,1,6,7
BRK,Isaiah Whitehead,460,PG,21,73,26,1643,204,508,0.402,44,149,0.295,160,359,0.446,0.445,91,113,0.805,32,152,184,192,42,36,142,175,543
BRK,Jeremy Lin,267,PG,28,36,33,883,175,400,0.438,58,156,0.3720000000000001,117,244,0.48,0.51,115,141,0.816,11,124,135,184,42,14,86,79,523
BRK,Joe Harris,178,SG,25,52,11,1138,154,362,0.425,85,221,0.385,69,141,0.489,0.5429999999999999,35,49,0.7140000000000001,16,131,147,54,30,8,55,121,428
BRK,Justin Hamilton,169,C,26,64,7,1177,174,379,0.459,55,180,0.306,119,199,0.598,0.532,39,52,0.75,71,191,262,55,29,43,43,91,442
BRK,Luis Scola,395,PF,36,36,1,461,71,151,0.47,17,50,0.34,54,101,0.535,0.526,25,37,0.6759999999999999,51,88,139,37,14,4,34,63,184
BRK,Randy Foye,139,SG,33,69,40,1284,118,325,0.363,67,203,0.33,51,122,0.418,0.466,54,63,0.857,9,146,155,135,35,9,80,99,357
BRK,Rondae Hollis-Jefferson,200,SF,22,78,50,1761,235,542,0.434,15,67,0.224,220,475,0.463,0.447,190,253,0.7509999999999999,96,356,452,154,82,44,116,177,675
BRK,Sean Kilpatrick,246,SG,27,70,24,1754,305,735,0.415,105,308,0.341,200,427,0.468,0.486,204,242,0.843,22,258,280,157,45,6,135,118,919
BRK,Spencer Dinwiddie,112,PG,23,59,18,1334,134,302,0.444,38,101,0.376,96,201,0.478,0.507,126,159,0.792,27,137,164,185,44,23,66,119,432
BRK,Trevor Booker,54,PF,29,71,43,1754,305,591,0.516,25,78,0.321,280,513,0.546,0.537,74,110,0.6729999999999999,143,428,571,138,75,28,127,152,709
BRK,Yogi Ferrell,135,PG,23,10,0,151,18,49,0.3670000000000001,8,27,0.29600000000000004,10,22,0.455,0.449,10,16,0.625,4,8,12,17,2,2,14,11,54
CHI,Bobby Portis,362,PF,21,64,13,1000,183,375,0.488,32,96,0.333,151,279,0.541,0.531,39,59,0.6609999999999999,75,221,296,35,16,11,37,94,437
CHI,Cristiano Felicio,133,C,24,66,0,1040,128,221,0.579,0,0,,128,221,0.579,0.579,60,93,0.645,124,187,311,40,25,17,33,110,316
CHI,Denzel Valentine,441,SG,23,57,0,976,102,288,0.354,73,208,0.35100000000000003,29,80,0.363,0.481,14,18,0.778,11,140,151,63,30,7,49,86,291
CHI,Doug McDermott,292,SF,25,44,4,1078,166,373,0.445,56,150,0.373,110,223,0.493,0.52,59,67,0.8809999999999999,14,116,130,45,11,4,32,57,447
CHI,Dwyane Wade,449,SG,35,60,59,1792,414,955,0.434,45,145,0.31,369,810,0.456,0.457,223,281,0.794,63,207,270,228,86,41,138,112,1096
CHI,Isaiah Canaan,70,SG,25,39,0,592,63,173,0.364,25,94,0.266,38,79,0.481,0.436,30,33,0.909,6,44,50,37,22,1,21,35,181
CHI,Jerian Grant,162,PG,24,63,28,1028,128,301,0.425,49,134,0.366,79,167,0.473,0.507,65,73,0.89,17,94,111,121,47,8,44,93,370
CHI,Jimmy Butler,66,SF,27,76,75,2809,570,1252,0.455,91,248,0.3670000000000001,479,1004,0.477,0.4920000000000001,585,676,0.865,129,341,470,417,143,32,159,112,1816
CHI,Michael Carter-Williams,74,PG,25,45,19,846,112,306,0.366,15,64,0.234,97,242,0.401,0.391,58,77,0.753,24,129,153,113,38,23,66,102,297
CHI,Nikola Mirotic,307,PF,25,70,15,1679,258,625,0.413,129,377,0.342,129,248,0.52,0.516,99,128,0.773,61,323,384,75,53,55,80,128,744
CHI,Paul Zipser,485,SF,22,44,18,843,88,221,0.398,33,99,0.333,55,122,0.451,0.473,31,40,0.775,15,110,125,36,15,16,40,78,240
CHI,R.J. Hunter,209,SG,23,3,0,9,0,1,0.0,0,1,0.0,0,0,,0.0,0,0,,0,1,1,0,0,0,0,0,0
CHI,Rajon Rondo,382,PG,30,69,42,1843,229,561,0.408,50,133,0.376,179,428,0.418,0.453,30,50,0.6,73,282,355,461,99,11,169,144,538
CHI,Robin Lopez,272,C,28,81,81,2271,382,775,0.493,0,2,0.0,382,773,0.494,0.493,75,104,0.721,244,276,520,80,18,117,91,151,839
CHI,Taj Gibson,153,PF,31,55,55,1502,276,530,0.521,2,12,0.16699999999999998,274,518,0.529,0.523,85,119,0.7140000000000001,120,262,382,60,27,50,77,123,639
CHO,Aaron Harrison,181,SG,22,5,0,17,0,4,0.0,0,2,0.0,0,2,0.0,0.0,1,2,0.5,0,3,3,3,0,0,0,2,1
CHO,Brian Roberts,378,PG,31,41,2,416,46,122,0.377,17,44,0.386,29,78,0.3720000000000001,0.447,33,39,0.846,5,34,39,52,9,1,26,18,142
CHO,Christian Wood,474,PF,21,13,0,107,12,23,0.522,0,5,0.0,12,18,0.667,0.522,11,15,0.733,14,15,29,2,3,6,7,11,35
CHO,Cody Zeller,482,C,24,62,58,1725,253,443,0.5710000000000001,0,1,0.0,253,442,0.5720000000000001,0.5710000000000001,133,196,0.679,135,270,405,99,62,58,65,189,639
CHO,Frank Kaminsky,242,C,23,75,16,1954,320,802,0.399,116,354,0.328,204,448,0.455,0.471,118,156,0.7559999999999999,57,279,336,162,46,34,76,139,874
CHO,Jeremy Lamb,252,SG,24,62,5,1143,226,491,0.46,41,146,0.281,185,345,0.536,0.502,110,129,0.853,30,234,264,75,27,23,40,98,603
CHO,Kemba Walker,451,PG,26,79,79,2739,643,1449,0.444,240,602,0.399,403,847,0.476,0.527,304,359,0.847,45,263,308,434,85,22,168,119,1830
CHO,Marco Belinelli,39,SG,30,74,0,1778,264,615,0.429,102,283,0.36,162,332,0.488,0.512,150,168,0.893,14,164,178,147,44,9,70,90,780
CHO,Marvin Williams,468,PF,30,76,76,2295,297,704,0.422,124,354,0.35,173,350,0.494,0.51,131,150,0.873,89,411,500,106,58,53,60,134,849
CHO,Michael Kidd-Gilchrist,245,SF,23,81,81,2349,295,618,0.477,1,9,0.111,294,609,0.483,0.478,152,194,0.784,156,409,565,114,81,77,56,187,743
CHO,Mike Tobey,430,C,22,2,0,25,1,4,0.25,0,0,,1,4,0.25,0.25,0,0,,2,1,3,1,0,0,1,2,2
CHO,Nicolas Batum,32,SG,28,77,77,2617,393,975,0.403,135,405,0.333,258,570,0.453,0.472,243,284,0.856,46,435,481,456,86,29,194,109,1164
CHO,Ramon Sessions,400,PG,30,50,1,811,100,263,0.38,21,62,0.339,79,201,0.393,0.42,91,118,0.7709999999999999,11,62,73,129,27,3,46,43,312
CHO,Roy Hibbert,191,C,30,42,13,671,78,144,0.542,0,0,,78,144,0.542,0.542,61,75,0.813,53,97,150,20,8,44,31,97,217
CHO,Spencer Hawes,184,PF,28,35,1,626,104,218,0.477,16,55,0.29100000000000004,88,163,0.54,0.514,30,34,0.882,32,114,146,62,13,26,40,61,254
CHO,Treveon Graham,160,SG,23,27,1,189,19,40,0.475,9,15,0.6,10,25,0.4,0.588,10,15,0.667,5,17,22,6,6,1,3,18,57
CLE,Channing Frye,141,C,33,74,15,1398,238,520,0.458,137,335,0.409,101,185,0.546,0.589,63,74,0.851,37,253,290,45,33,37,53,138,676
CLE,Chris Andersen,11,C,38,12,0,114,9,22,0.409,0,3,0.0,9,19,0.474,0.409,10,14,0.7140000000000001,9,22,31,5,5,7,5,20,28
CLE,Dahntay Jones,234,SF,36,1,0,12,3,8,0.375,0,2,0.0,3,6,0.5,0.375,3,4,0.75,1,1,2,1,0,0,1,1,9
CLE,DeAndre Liggins,265,SG,28,61,19,752,52,136,0.382,17,45,0.378,35,91,0.385,0.445,23,37,0.622,17,84,101,54,45,14,42,78,144
CLE,Iman Shumpert,401,SG,26,76,31,1937,201,489,0.411,94,261,0.36,107,228,0.469,0.507,71,90,0.789,39,179,218,109,62,27,78,150,567
CLE,J.R. Smith,407,SG,31,41,35,1187,123,356,0.34600000000000003,95,271,0.35100000000000003,28,85,0.329,0.479,10,15,0.667,17,96,113,62,40,11,26,77,351
CLE,James Jones,237,SF,36,48,2,381,44,92,0.478,31,66,0.47,13,26,0.5,0.647,13,20,0.65,3,34,37,14,6,10,10,37,132
CLE,Jordan McRae,296,SG,25,37,4,384,58,150,0.387,18,51,0.353,40,99,0.404,0.447,27,34,0.794,6,35,41,19,8,6,14,31,161
CLE,Kay Felder,132,PG,21,42,0,386,62,158,0.392,7,22,0.318,55,136,0.404,0.415,35,49,0.7140000000000001,3,38,41,58,18,7,30,38,166
CLE,Kevin Love,273,PF,28,60,60,1885,370,867,0.4270000000000001,145,389,0.373,225,478,0.471,0.51,257,295,0.871,148,518,666,116,53,21,122,125,1142
CLE,Kyrie Irving,215,PG,24,72,72,2525,671,1420,0.473,177,441,0.401,494,979,0.505,0.535,297,328,0.905,52,178,230,418,83,24,180,157,1816
CLE,Larry Sanders,391,C,28,5,0,13,1,4,0.25,0,0,,1,4,0.25,0.25,2,2,1.0,3,1,4,0,1,1,2,5,4
CLE,LeBron James,220,SF,32,74,74,2794,736,1344,0.5479999999999999,124,342,0.363,612,1002,0.611,0.594,358,531,0.674,97,542,639,646,92,44,303,134,1954
CLE,Mike Dunleavy,117,SF,36,23,2,366,36,90,0.4,20,57,0.35100000000000003,16,33,0.485,0.511,14,19,0.737,5,42,47,20,6,2,14,32,106
CLE,Richard Jefferson,222,SF,36,79,13,1614,153,343,0.446,62,186,0.333,91,157,0.58,0.536,80,108,0.741,28,175,203,78,26,10,52,153,448
CLE,Tristan Thompson,428,C,25,78,78,2336,262,437,0.6,0,3,0.0,262,434,0.604,0.6,106,213,0.498,286,429,715,77,39,84,64,176,630
DAL,A.J. Hammons,170,C,24,22,0,163,17,42,0.405,5,10,0.5,12,32,0.375,0.464,9,20,0.45,8,28,36,4,1,13,10,21,48
DAL,Andrew Bogut,51,C,32,26,21,582,38,81,0.469,0,1,0.0,38,80,0.475,0.469,3,11,0.273,56,162,218,49,13,25,43,84,79
DAL,Ben Bentil,43,PF,21,3,0,10,0,3,0.0,0,1,0.0,0,2,0.0,0.0,0,0,,0,2,2,0,0,0,1,1,0
DAL,Deron Williams,465,PG,32,40,40,1171,195,453,0.43,63,181,0.348,132,272,0.485,0.5,69,84,0.821,13,89,102,274,25,2,98,96,522
