Tm,Player,Rk,Pos,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
WAS,Danuel House,204,SG,23,1,0,1,0,0,,0,0,,0,0,,,0,0,,0,1,1,0,0,0,0,0,0
WAS,Ian Mahinmi,280,C,30,31,0,555,65,111,0.586,0,0,,65,111,0.586,0.586,43,75,0.573,47,103,150,19,33,24,34,90,173
WAS,Jason Smith,408,C,30,74,3,1068,174,329,0.529,37,78,0.474,137,251,0.546,0.585,35,51,0.6859999999999999,64,194,258,37,21,54,58,168,420
WAS,John Wall,452,PG,26,78,78,2836,647,1435,0.451,89,272,0.327,558,1163,0.48,0.482,422,527,0.8009999999999999,59,267,326,831,157,49,322,151,1805
WAS,Kelly Oubre,343,SF,21,79,5,1605,186,442,0.421,54,188,0.287,132,254,0.52,0.482,75,99,0.758,61,200,261,47,58,17,50,195,501
WAS,Marcin Gortat,159,C,32,82,82,2556,390,674,0.579,0,2,0.0,390,672,0.58,0.579,103,159,0.648,238,611,849,121,40,61,119,213,883
WAS,Marcus Thornton,429,SG,29,33,1,575,84,210,0.4,28,80,0.35,56,130,0.431,0.467,23,27,0.852,22,54,76,41,19,3,25,48,219
WAS,Markieff Morris,311,PF,27,76,76,2374,406,889,0.457,71,196,0.362,335,693,0.483,0.4970000000000001,180,215,0.8370000000000001,107,386,493,126,82,42,129,254,1063
WAS,Otto Porter,361,SF,23,80,80,2605,414,803,0.516,148,341,0.434,266,462,0.5760000000000001,0.608,99,119,0.8320000000000001,118,396,514,121,116,42,44,193,1075
WAS,Sheldon Mac,278,SG,24,30,3,287,30,75,0.4,7,30,0.233,23,45,0.511,0.447,23,27,0.852,4,30,34,15,8,2,5,17,90
WAS,Tomas Satoransky,393,SG,25,57,3,719,61,147,0.415,9,37,0.243,52,110,0.473,0.446,23,33,0.6970000000000001,25,58,83,92,26,6,38,60,154
WAS,Trey Burke,64,PG,24,57,0,703,116,255,0.455,31,70,0.443,85,185,0.459,0.516,22,29,0.759,7,40,47,100,11,5,48,54,285
